"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"European Union (28 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal",":",""
"European Union (27 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","504",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","504",""
"Germany (until 1990 former territory of the FRG)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","1",""
"France","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal",":",""
"European Union (27 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","454",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","454",""
"Germany (until 1990 former territory of the FRG)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","2",""
"France","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal",":",""
"European Union (27 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","483","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","483","p"
"Germany (until 1990 former territory of the FRG)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","1","p"
"France","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal",":",""
"European Union (27 countries)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","482",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","482",""
"Germany (until 1990 former territory of the FRG)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","1",""
"France","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal",":",""
"European Union (27 countries)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","488","p"
