"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","488","p"
"Germany (until 1990 former territory of the FRG)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","1",""
"France","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal",":",""
"European Union (27 countries)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","475",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","475",""
"Germany (until 1990 former territory of the FRG)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","1",""
"France","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal",":",""
"European Union (27 countries)","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","514",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","514",""
"Germany (until 1990 former territory of the FRG)","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","1",""
"France","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal",":",""
"European Union (27 countries)","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","488",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","488",""
"Germany (until 1990 former territory of the FRG)","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","1",""
"France","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal",":",""
"European Union (27 countries)","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","478",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","478",""
"Germany (until 1990 former territory of the FRG)","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","1",""
"France","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal",":",""
"European Union (27 countries)","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","490",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","490",""
"Germany (until 1990 former territory of the FRG)","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","1",""
"France","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2012M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal",":",""
"European Union (27 countries)","2012M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","472","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","472","p"
"Germany (until 1990 former territory of the FRG)","2012M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","1","p"
"France","2012M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2012M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2012M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2012M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal",":",""
"European Union (27 countries)","2012M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","483",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","483",""
"Germany (until 1990 former territory of the FRG)","2012M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","1",""
"France","2012M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2012M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2012M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2013M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","492",""
"European Union (27 countries)","2013M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","492",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","492",""
"Germany (until 1990 former territory of the FRG)","2013M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","4",""
"France","2013M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2013M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2013M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2013M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","437",""
"European Union (27 countries)","2013M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","437",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","437",""
"Germany (until 1990 former territory of the FRG)","2013M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","3",""
"France","2013M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2013M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2013M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2013M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","489",""
"European Union (27 countries)","2013M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","489",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","489",""
"Germany (until 1990 former territory of the FRG)","2013M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","3",""
"France","2013M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2013M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2013M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2013M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","486",""
"European Union (27 countries)","2013M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","486",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","486",""
"Germany (until 1990 former territory of the FRG)","2013M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","2",""
"France","2013M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2013M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2013M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2013M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","508",""
"European Union (27 countries)","2013M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","508",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","508",""
"Germany (until 1990 former territory of the FRG)","2013M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","2",""
"France","2013M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2013M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2013M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2013M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","479",""
"European Union (27 countries)","2013M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","479",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","479",""
"Germany (until 1990 former territory of the FRG)","2013M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","3",""
"France","2013M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2013M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2013M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2013M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","516",""
"European Union (27 countries)","2013M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","516",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","516",""
"Germany (until 1990 former territory of the FRG)","2013M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","6",""
"France","2013M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2013M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2013M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2013M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","521",""
"European Union (27 countries)","2013M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","521",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","521",""
"Germany (until 1990 former territory of the FRG)","2013M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","8",""
"France","2013M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2013M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2013M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2013M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","489",""
"European Union (27 countries)","2013M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","489",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","489",""
"Germany (until 1990 former territory of the FRG)","2013M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","8",""
"France","2013M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2013M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2013M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2013M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","507",""
"European Union (27 countries)","2013M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","507",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","507",""
"Germany (until 1990 former territory of the FRG)","2013M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","7",""
"France","2013M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2013M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2013M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2013M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","497",""
"European Union (27 countries)","2013M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","497",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","497",""
"Germany (until 1990 former territory of the FRG)","2013M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","9",""
"France","2013M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2013M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2013M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2013M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","504",""
"European Union (27 countries)","2013M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","504",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","504",""
"Germany (until 1990 former territory of the FRG)","2013M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","10",""
"France","2013M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2013M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2013M12","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2014M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","523",""
"European Union (27 countries)","2014M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","523",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","523",""
"Germany (until 1990 former territory of the FRG)","2014M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","12",""
"France","2014M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2014M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2014M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2014M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","464",""
"European Union (27 countries)","2014M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","464",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","464",""
"Germany (until 1990 former territory of the FRG)","2014M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","8",""
"France","2014M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2014M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2014M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2014M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","518",""
"European Union (27 countries)","2014M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","518",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","518",""
"Germany (until 1990 former territory of the FRG)","2014M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","8",""
"France","2014M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2014M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2014M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2014M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","504",""
"European Union (27 countries)","2014M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","504",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","504",""
"Germany (until 1990 former territory of the FRG)","2014M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","7",""
"France","2014M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2014M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2014M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2014M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","531",""
"European Union (27 countries)","2014M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","531",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","531",""
"Germany (until 1990 former territory of the FRG)","2014M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","9",""
"France","2014M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2014M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2014M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2014M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","509",""
"European Union (27 countries)","2014M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","509",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","509",""
"Germany (until 1990 former territory of the FRG)","2014M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","5",""
"France","2014M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2014M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2014M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2014M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","529",""
"European Union (27 countries)","2014M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","529",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","529",""
"Germany (until 1990 former territory of the FRG)","2014M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","7",""
"France","2014M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2014M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2014M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2014M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","533",""
"European Union (27 countries)","2014M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","533",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","533",""
"Germany (until 1990 former territory of the FRG)","2014M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","9",""
"France","2014M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2014M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2014M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2014M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","509",""
"European Union (27 countries)","2014M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","509",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","509",""
"Germany (until 1990 former territory of the FRG)","2014M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","4",""
"France","2014M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2014M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2014M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2014M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","527",""
"European Union (27 countries)","2014M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","527",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","527",""
"Germany (until 1990 former territory of the FRG)","2014M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","6",""
"France","2014M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Austria","2014M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"Slovenia","2014M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","0",""
"European Union (28 countries)","2014M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","496",""
"European Union (27 countries)","2014M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Geothermal","496",""
