"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M08","Gigawatt-hour","Electrical energy","Used for pumped storage","2 594",""
"Germany (until 1990 former territory of the FRG)","2012M08","Gigawatt-hour","Electrical energy","Used for pumped storage","633",""
"France","2012M08","Gigawatt-hour","Electrical energy","Used for pumped storage","486",""
"Austria","2012M08","Gigawatt-hour","Electrical energy","Used for pumped storage","419",""
"Slovenia","2012M08","Gigawatt-hour","Electrical energy","Used for pumped storage","31",""
"European Union (28 countries)","2012M09","Gigawatt-hour","Electrical energy","Used for pumped storage",":",""
"European Union (27 countries)","2012M09","Gigawatt-hour","Electrical energy","Used for pumped storage","3 444",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M09","Gigawatt-hour","Electrical energy","Used for pumped storage","2 862",""
"Germany (until 1990 former territory of the FRG)","2012M09","Gigawatt-hour","Electrical energy","Used for pumped storage","681",""
"France","2012M09","Gigawatt-hour","Electrical energy","Used for pumped storage","615",""
"Austria","2012M09","Gigawatt-hour","Electrical energy","Used for pumped storage","499",""
"Slovenia","2012M09","Gigawatt-hour","Electrical energy","Used for pumped storage","25",""
"European Union (28 countries)","2012M10","Gigawatt-hour","Electrical energy","Used for pumped storage",":",""
"European Union (27 countries)","2012M10","Gigawatt-hour","Electrical energy","Used for pumped storage","3 404",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M10","Gigawatt-hour","Electrical energy","Used for pumped storage","2 807",""
"Germany (until 1990 former territory of the FRG)","2012M10","Gigawatt-hour","Electrical energy","Used for pumped storage","713",""
"France","2012M10","Gigawatt-hour","Electrical energy","Used for pumped storage","673",""
"Austria","2012M10","Gigawatt-hour","Electrical energy","Used for pumped storage","434",""
"Slovenia","2012M10","Gigawatt-hour","Electrical energy","Used for pumped storage","2",""
"European Union (28 countries)","2012M11","Gigawatt-hour","Electrical energy","Used for pumped storage",":",""
"European Union (27 countries)","2012M11","Gigawatt-hour","Electrical energy","Used for pumped storage","3 597","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M11","Gigawatt-hour","Electrical energy","Used for pumped storage","2 901","p"
"Germany (until 1990 former territory of the FRG)","2012M11","Gigawatt-hour","Electrical energy","Used for pumped storage","717","p"
"France","2012M11","Gigawatt-hour","Electrical energy","Used for pumped storage","557",""
"Austria","2012M11","Gigawatt-hour","Electrical energy","Used for pumped storage","523",""
"Slovenia","2012M11","Gigawatt-hour","Electrical energy","Used for pumped storage","39",""
"European Union (28 countries)","2012M12","Gigawatt-hour","Electrical energy","Used for pumped storage",":",""
"European Union (27 countries)","2012M12","Gigawatt-hour","Electrical energy","Used for pumped storage","4 131",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M12","Gigawatt-hour","Electrical energy","Used for pumped storage","3 389",""
"Germany (until 1990 former territory of the FRG)","2012M12","Gigawatt-hour","Electrical energy","Used for pumped storage","720",""
"France","2012M12","Gigawatt-hour","Electrical energy","Used for pumped storage","679",""
"Austria","2012M12","Gigawatt-hour","Electrical energy","Used for pumped storage","666",""
"Slovenia","2012M12","Gigawatt-hour","Electrical energy","Used for pumped storage","44",""
"European Union (28 countries)","2013M01","Gigawatt-hour","Electrical energy","Used for pumped storage","3 968",""
"European Union (27 countries)","2013M01","Gigawatt-hour","Electrical energy","Used for pumped storage","3 954",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M01","Gigawatt-hour","Electrical energy","Used for pumped storage","3 261",""
"Germany (until 1990 former territory of the FRG)","2013M01","Gigawatt-hour","Electrical energy","Used for pumped storage","724",""
"France","2013M01","Gigawatt-hour","Electrical energy","Used for pumped storage","572",""
"Austria","2013M01","Gigawatt-hour","Electrical energy","Used for pumped storage","604",""
"Slovenia","2013M01","Gigawatt-hour","Electrical energy","Used for pumped storage","39",""
"European Union (28 countries)","2013M02","Gigawatt-hour","Electrical energy","Used for pumped storage","3 273",""
"European Union (27 countries)","2013M02","Gigawatt-hour","Electrical energy","Used for pumped storage","3 253",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M02","Gigawatt-hour","Electrical energy","Used for pumped storage","2 653",""
"Germany (until 1990 former territory of the FRG)","2013M02","Gigawatt-hour","Electrical energy","Used for pumped storage","631",""
"France","2013M02","Gigawatt-hour","Electrical energy","Used for pumped storage","484",""
"Austria","2013M02","Gigawatt-hour","Electrical energy","Used for pumped storage","325",""
"Slovenia","2013M02","Gigawatt-hour","Electrical energy","Used for pumped storage","35",""
"European Union (28 countries)","2013M03","Gigawatt-hour","Electrical energy","Used for pumped storage","4 320",""
"European Union (27 countries)","2013M03","Gigawatt-hour","Electrical energy","Used for pumped storage","4 311",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M03","Gigawatt-hour","Electrical energy","Used for pumped storage","3 571",""
"Germany (until 1990 former territory of the FRG)","2013M03","Gigawatt-hour","Electrical energy","Used for pumped storage","712",""
"France","2013M03","Gigawatt-hour","Electrical energy","Used for pumped storage","595",""
"Austria","2013M03","Gigawatt-hour","Electrical energy","Used for pumped storage","504",""
"Slovenia","2013M03","Gigawatt-hour","Electrical energy","Used for pumped storage","28",""
"European Union (28 countries)","2013M04","Gigawatt-hour","Electrical energy","Used for pumped storage","3 975",""
"European Union (27 countries)","2013M04","Gigawatt-hour","Electrical energy","Used for pumped storage","3 964",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M04","Gigawatt-hour","Electrical energy","Used for pumped storage","3 304",""
"Germany (until 1990 former territory of the FRG)","2013M04","Gigawatt-hour","Electrical energy","Used for pumped storage","701",""
"France","2013M04","Gigawatt-hour","Electrical energy","Used for pumped storage","576",""
"Austria","2013M04","Gigawatt-hour","Electrical energy","Used for pumped storage","495",""
"Slovenia","2013M04","Gigawatt-hour","Electrical energy","Used for pumped storage","40",""
"European Union (28 countries)","2013M05","Gigawatt-hour","Electrical energy","Used for pumped storage","3 511",""
"European Union (27 countries)","2013M05","Gigawatt-hour","Electrical energy","Used for pumped storage","3 485",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M05","Gigawatt-hour","Electrical energy","Used for pumped storage","2 908",""
"Germany (until 1990 former territory of the FRG)","2013M05","Gigawatt-hour","Electrical energy","Used for pumped storage","700",""
"France","2013M05","Gigawatt-hour","Electrical energy","Used for pumped storage","657",""
"Austria","2013M05","Gigawatt-hour","Electrical energy","Used for pumped storage","415",""
"Slovenia","2013M05","Gigawatt-hour","Electrical energy","Used for pumped storage","41",""
"European Union (28 countries)","2013M06","Gigawatt-hour","Electrical energy","Used for pumped storage","3 237",""
"European Union (27 countries)","2013M06","Gigawatt-hour","Electrical energy","Used for pumped storage","3 234",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M06","Gigawatt-hour","Electrical energy","Used for pumped storage","2 758",""
"Germany (until 1990 former territory of the FRG)","2013M06","Gigawatt-hour","Electrical energy","Used for pumped storage","644",""
"France","2013M06","Gigawatt-hour","Electrical energy","Used for pumped storage","581",""
"Austria","2013M06","Gigawatt-hour","Electrical energy","Used for pumped storage","441",""
"Slovenia","2013M06","Gigawatt-hour","Electrical energy","Used for pumped storage","32",""
"European Union (28 countries)","2013M07","Gigawatt-hour","Electrical energy","Used for pumped storage","2 804",""
"European Union (27 countries)","2013M07","Gigawatt-hour","Electrical energy","Used for pumped storage","2 799",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M07","Gigawatt-hour","Electrical energy","Used for pumped storage","2 247",""
"Germany (until 1990 former territory of the FRG)","2013M07","Gigawatt-hour","Electrical energy","Used for pumped storage","543",""
"France","2013M07","Gigawatt-hour","Electrical energy","Used for pumped storage","541",""
"Austria","2013M07","Gigawatt-hour","Electrical energy","Used for pumped storage","275",""
"Slovenia","2013M07","Gigawatt-hour","Electrical energy","Used for pumped storage","30",""
"European Union (28 countries)","2013M08","Gigawatt-hour","Electrical energy","Used for pumped storage","3 046",""
"European Union (27 countries)","2013M08","Gigawatt-hour","Electrical energy","Used for pumped storage","3 035",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M08","Gigawatt-hour","Electrical energy","Used for pumped storage","2 408",""
"Germany (until 1990 former territory of the FRG)","2013M08","Gigawatt-hour","Electrical energy","Used for pumped storage","582",""
"France","2013M08","Gigawatt-hour","Electrical energy","Used for pumped storage","593",""
"Austria","2013M08","Gigawatt-hour","Electrical energy","Used for pumped storage","411",""
"Slovenia","2013M08","Gigawatt-hour","Electrical energy","Used for pumped storage","30",""
"European Union (28 countries)","2013M09","Gigawatt-hour","Electrical energy","Used for pumped storage","3 107",""
"European Union (27 countries)","2013M09","Gigawatt-hour","Electrical energy","Used for pumped storage","3 088",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M09","Gigawatt-hour","Electrical energy","Used for pumped storage","2 412",""
