"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"European Union (28 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear",":",""
"European Union (27 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","87 278",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","68 598",""
"Germany (until 1990 former territory of the FRG)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","9 290",""
"France","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","44 769",""
"Austria","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","0",""
"Slovenia","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","544",""
"European Union (28 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear",":",""
"European Union (27 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","80 350",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","62 854",""
"Germany (until 1990 former territory of the FRG)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","8 885",""
"France","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","40 439",""
"Austria","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","0",""
"Slovenia","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","503",""
"European Union (28 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear",":",""
"European Union (27 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","79 573","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","62 060","p"
"Germany (until 1990 former territory of the FRG)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","9 218","p"
"France","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","39 344",""
"Austria","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","0",""
"Slovenia","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","539",""
"European Union (28 countries)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear",":",""
"European Union (27 countries)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","70 943",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","53 150",""
"Germany (until 1990 former territory of the FRG)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Nuclear","6 129",""
