"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"European Union (28 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal",":",""
"European Union (27 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","156 440",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","99 903",""
"Germany (until 1990 former territory of the FRG)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","29 972",""
"France","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","6 429",""
"Austria","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","2 346",""
"Slovenia","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","568",""
"European Union (28 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal",":",""
"European Union (27 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","166 734",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","109 155",""
"Germany (until 1990 former territory of the FRG)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","34 274",""
"France","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","9 836",""
"Austria","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","2 851",""
"Slovenia","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","605",""
"European Union (28 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal",":",""
"European Union (27 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","145 512","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Conventional Thermal","93 397","p"
